playerID,year,GP,minutes,points,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,fgAttempted,fgMade,ftAttempted,ftMade,threeAttempted,threeMade,fgPct,ftPct,threePct,allNBA,MVP,DPY
allenra02,2004,78,39.28,23.94,1.01,3.44,4.45,3.71,1.08,0.06,2.19,2.14,19.15,8.21,5.49,4.85,7.13,2.68,42.84,88.32,37.59,1,0,0
allenra02,2005,78,38.74,25.06,0.91,3.35,4.26,3.67,1.35,0.21,2.41,1.94,19.23,8.73,4.6,4.15,8.37,3.45,45.4,90.25,41.19,0,0,0
allenra02,2006,55,40.35,26.44,1.04,3.45,4.49,4.15,1.49,0.2,2.8,2.05,20.96,9.18,5.62,5.07,8.05,3.0,43.8,90.29,37.25,0,0,0
allenra02,2007,73,35.92,17.44,1.03,2.64,3.67,3.08,0.89,0.22,1.74,2.01,13.52,6.01,3.25,2.95,6.19,2.47,44.48,90.72,39.82,0,0,0
allenra02,2008,79,36.33,18.15,0.84,2.68,3.52,2.76,0.87,0.16,1.7,1.99,13.16,6.32,3.15,3.0,6.15,2.52,47.98,95.18,40.95,0,0,0
allenra02,2009,80,35.24,16.3,0.56,2.6,3.16,2.62,0.8,0.31,1.61,2.28,12.16,5.8,3.16,2.89,4.99,1.81,47.69,91.3,36.34,0,0,0
allenra02,2010,80,36.12,16.51,0.64,2.79,3.42,2.74,0.96,0.2,1.46,1.84,12.22,6.0,2.74,2.41,4.72,2.1,49.08,88.13,44.44,0,0,0
allenra02,2011,46,34.02,14.24,0.3,2.78,3.09,2.37,1.07,0.17,1.48,1.8,10.72,4.91,2.3,2.11,5.09,2.3,45.84,91.51,45.3,0,0,0
allento01,2004,77,16.39,6.39,1.1,1.77,2.87,0.83,0.99,0.31,1.0,2.03,5.03,2.39,1.97,1.45,0.4,0.16,47.55,73.68,38.71,0,0,0
allento01,2005,51,19.18,7.24,0.63,1.55,2.18,1.31,1.0,0.35,1.31,2.47,5.37,2.53,2.63,1.96,0.67,0.22,47.08,74.63,32.35,0,0,0
allento01,2006,33,24.39,11.48,1.06,2.7,3.76,1.7,1.48,0.36,2.27,2.64,7.85,4.03,4.06,3.18,1.0,0.24,51.35,78.36,24.24,0,0,0
allento01,2007,75,18.37,6.59,0.45,1.79,2.24,1.52,0.83,0.28,1.45,2.24,5.17,2.25,2.41,1.84,0.76,0.24,43.56,76.24,31.58,0,0,0
allento01,2008,46,19.26,7.8,0.48,1.78,2.26,1.43,1.17,0.5,1.67,2.13,6.17,2.98,2.37,1.72,0.59,0.13,48.24,72.48,22.22,0,0,0
allento01,2009,54,16.46,6.11,0.96,1.72,2.69,1.33,1.09,0.35,1.22,2.02,4.69,2.39,2.2,1.33,0.09,0.0,50.99,60.5,0.0,0,0,0
allento01,2010,72,20.75,8.93,0.97,1.71,2.68,1.44,1.79,0.61,1.19,2.24,6.83,3.49,2.53,1.9,0.32,0.06,51.02,75.27,17.39,0,0,0
allento01,2011,58,26.29,9.79,1.69,2.33,4.02,1.36,1.79,0.57,1.62,2.45,7.72,3.62,3.02,2.41,0.45,0.14,46.88,80.0,30.77,0,0,0
allrela01,2007,3,3.33,1.0,0.0,0.33,0.33,0.0,0.0,0.0,0.0,0.33,1.33,0.33,0.67,0.33,0.0,0.0,25.0,50.0,,0,0,0
allumda01,1980,22,12.55,2.68,0.86,2.09,2.95,1.14,0.23,0.36,1.05,2.32,3.05,1.05,1.0,0.59,0.05,0.0,34.33,59.09,0.0,0,0,0
almonmo01,2007,9,4.44,1.44,0.0,0.22,0.22,0.33,0.11,0.0,0.22,0.56,1.67,0.44,0.67,0.44,0.44,0.11,26.67,66.67,25.0,0,0,0
almonmo01,2008,25,10.28,3.68,0.36,1.08,1.44,0.28,0.16,0.16,0.64,1.24,3.24,1.32,1.04,0.84,0.68,0.2,40.74,80.77,29.41,0,0,0
almonmo01,2011,4,16.75,3.5,0.25,1.75,2.0,0.5,1.75,0.0,0.25,1.5,4.25,1.5,0.75,0.25,0.75,0.25,35.29,33.33,33.33,0,0,0
alstode01,1994,64,16.12,4.67,1.53,1.89,3.42,0.52,0.61,0.55,0.83,1.67,4.03,1.88,1.88,0.92,0.06,0.0,46.51,49.17,0.0,0,0,0
alstode01,1995,73,22.11,6.19,1.74,2.4,4.14,0.84,0.77,0.71,0.81,2.62,5.3,2.71,1.53,0.75,0.04,0.01,51.16,49.11,33.33,0,0,0
alstode01,1996,2,5.5,0.0,1.5,0.5,2.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0,0,0
alstora01,1999,27,13.37,2.22,0.19,0.67,0.85,2.59,0.44,0.0,1.07,1.07,3.52,1.0,0.15,0.11,0.52,0.11,28.42,75.0,21.43,0,0,0
alstora01,2000,37,7.78,2.08,0.11,0.73,0.84,1.84,0.35,0.0,0.54,0.73,2.27,0.81,0.35,0.24,0.81,0.22,35.71,69.23,26.67,0,0,0
