Player,playerID,pos,GP,minutes,fgMade,fgAttempted,fgPct,threeMade,threeAttempted,threePct,efgPct,ftMade,ftAttempted,ftPct,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,points,allNBA,MVP,DPY
Matthew Dellavedova,dellama01,G,76,26.1,2.7,7,0.39,1,2.8,0.367,0.463,1.1,1.3,0.854,0.3,1.6,1.9,4.7,0.7,0,1.8,2,7.6,0,0,0
Luol Deng,denglu01,F,56,26.5,2.9,7.6,0.387,0.9,2.9,0.309,0.447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6,0,0,0
DeMar DeRozan,derozde01,G,74,35.4,9.7,20.9,0.467,0.4,1.7,0.266,0.477,7.4,8.7,0.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3,1,0,0
Cheick Diallo,diallch01,F,17,11.7,2.1,4.5,0.474,0,0,,0.474,0.9,1.2,0.714,1.4,2.9,4.3,0.2,0.2,0.4,0.4,1,5.1,0,0,0
Boris Diaw,diawbo01,F,73,17.6,2,4.5,0.446,0.3,1.1,0.247,0.477,0.4,0.5,0.743,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6,0,0,0
Gorgui Dieng,dienggo01,F,82,32.4,4,8.1,0.502,0.2,0.5,0.372,0.514,1.7,2,0.814,2.3,5.6,7.9,1.9,1.1,1.2,1.3,3.1,10,0,0,0
Spencer Dinwiddie,dinwisp01,G,59,22.6,2.3,5.1,0.444,0.6,1.7,0.376,0.507,2.1,2.7,0.792,0.5,2.3,2.8,3.1,0.7,0.4,1.1,2,7.3,0,0,0
Toney Douglas,douglto01,G,24,16.4,1.8,4.9,0.368,0.3,1.8,0.167,0.397,1,1.2,0.828,0.5,2,2.5,2.3,0.8,0.2,0.9,2.1,4.9,0,0,0
Goran Dragic,dragigo01,G,73,33.7,7.3,15.4,0.475,1.6,4,0.405,0.527,4.1,5.2,0.79,0.8,3,3.8,5.8,1.2,0.2,2.9,2.7,20.3,0,0,0
Andre Drummond,drumman01,C,81,29.7,6,11.2,0.53,0,0.1,0.286,0.531,1.7,4.4,0.386,4.3,9.5,13.8,1.1,1.5,1.1,1.9,2.9,13.6,0,0,0
Jared Dudley,dudleja01,F,64,21.3,2.5,5.4,0.454,1.2,3.2,0.379,0.565,0.7,1,0.662,0.5,3,3.5,1.9,0.7,0.3,1.1,2.4,6.8,0,0,0
Mike Dunleavy,dunlemi02,F,53,15.9,1.8,4.2,0.423,1,2.5,0.396,0.543,0.7,0.8,0.8,0.3,1.8,2.2,0.9,0.3,0.1,0.5,1.3,5.2,0,0,0
Kris Dunn,dunnkr01,G,78,17.1,1.5,4,0.377,0.3,0.9,0.288,0.411,0.5,0.8,0.61,0.3,1.8,2.1,2.4,1,0.5,1.1,2.3,3.8,0,0,0
Kevin Durant,duranke01,F,62,33.4,8.9,16.5,0.537,1.9,5,0.375,0.594,5.4,6.2,0.875,0.6,7.6,8.3,4.8,1.1,1.6,2.2,1.9,25.1,1,0,0
Jarell Eddie,eddieja01,F,5,12.4,1.2,3.8,0.316,0.8,3.2,0.25,0.421,1.6,1.8,0.889,0.2,1.2,1.4,0,0.2,0,0.2,0.2,4.8,0,0,0
Henry Ellenson,ellenhe01,F,19,7.7,1.2,3.4,0.359,0.5,1.8,0.286,0.438,0.2,0.4,0.5,0.4,1.7,2.2,0.4,0.1,0.1,0.7,0.3,3.2,0,0,0
Wayne Ellington,ellinwa01,G,62,24.2,3.7,9,0.416,2.4,6.4,0.378,0.55,0.6,0.7,0.86,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5,0,0,0
Monta Ellis,ellismo01,G,74,27,3.3,7.5,0.443,0.6,1.8,0.319,0.482,1.3,1.7,0.727,0.3,2.5,2.8,3.2,1.1,0.4,1.8,2,8.5,0,0,0
Joel Embiid,embiijo01,C,31,25.4,6.5,13.8,0.466,1.2,3.2,0.367,0.508,6.2,7.9,0.783,2,5.9,7.8,2.1,0.9,2.5,3.8,3.6,20.2,0,0,0
James Ennis,ennisja01,F,64,23.5,2.3,5,0.455,0.8,2.1,0.372,0.534,1.3,1.7,0.782,1.1,3,4,1,0.7,0.3,0.9,2.6,6.7,0,0,0
Tyler Ennis,ennisty01,G,53,11.1,1.7,3.9,0.433,0.5,1.3,0.386,0.498,0.4,0.5,0.84,0.2,0.7,0.8,1.6,0.5,0,0.8,1.1,4.3,0,0,0
Tyreke Evans,evansty01,F,40,19.7,3.8,9.3,0.405,1.1,3,0.356,0.462,1.7,2.3,0.75,0.3,3.1,3.4,3.1,0.9,0.2,1.5,1.5,10.3,0,0,0
Dante Exum,exumda01,G,66,18.6,2.3,5.5,0.427,0.7,2.3,0.295,0.488,0.9,1.1,0.795,0.5,1.5,2,1.7,0.3,0.2,1.2,2.2,6.2,0,0,0
Kenneth Faried,farieke01,F,61,21.2,3.7,6.8,0.548,0,0.1,0,0.548,2.1,3.1,0.693,3,4.6,7.6,0.9,0.7,0.7,1,2,9.6,0,0,0
Jordan Farmar,farmajo01,G,2,17.5,2,6,0.333,2,4.5,0.444,0.5,0,0,,0.5,1,1.5,4.5,1,0,1.5,0.5,6,0,0,0
Derrick Favors,favorde01,F,50,23.7,4.1,8.3,0.487,0.1,0.2,0.3,0.49,1.3,2.2,0.615,1.8,4.3,6.1,1.1,0.9,0.8,1.2,2.1,9.5,0,0,0
Kay Felder,feldeka01,G,42,9.2,1.5,3.8,0.392,0.2,0.5,0.318,0.415,0.8,1.2,0.714,0.1,0.9,1,1.4,0.4,0.2,0.7,0.9,4,0,0,0
Cristiano Felicio,feliccr01,C,66,15.8,1.9,3.3,0.579,0,0,,0.579,0.9,1.4,0.645,1.9,2.8,4.7,0.6,0.4,0.3,0.5,1.7,4.8,0,0,0
