Player,playerID,pos,GP,minutes,fgMade,fgAttempted,fgPct,threeMade,threeAttempted,threePct,efgPct,ftMade,ftAttempted,ftPct,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,points,allNBA,MVP,DPY
Quincy Acy,acyqu01,F,59,14.8,2,3.6,0.556,0.3,0.8,0.388,0.6,0.8,1.2,0.735,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2,0,0,0
Jordan Adams,adamsjo01,G,2,7.5,1,3,0.333,0,0.5,0,0.333,1.5,2.5,0.6,0,1,1,1.5,1.5,0,1,1,3.5,0,0,0
Steven Adams,adamsst01,C,80,25.2,3.3,5.3,0.613,0,0,,0.613,1.4,2.5,0.582,2.7,3.9,6.7,0.8,0.5,1.1,1.1,2.8,8,0,0,0
Arron Afflalo,afflaar01,G,71,33.4,5,11.3,0.443,1.3,3.4,0.382,0.5,1.5,1.8,0.84,0.3,3.4,3.7,2,0.4,0.1,1.2,2,12.8,0,0,0
Alexis Ajinca,ajincal01,C,59,14.6,2.5,5.3,0.476,0,0,0,0.476,0.9,1.1,0.839,1.3,3.3,4.6,0.5,0.3,0.6,0.9,2.3,6,0,0,0
Cole Aldrich,aldrico01,C,60,13.3,2.2,3.8,0.596,0,0,,0.596,1,1.4,0.714,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,0,0,0
LaMarcus Aldridge,aldrila01,F,74,30.6,7.2,14.1,0.513,0,0.2,0,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2,18,1,0,0
Cliff Alexander,alexacl01,F,8,4.5,0.6,1.3,0.5,0,0,,0.5,0,0,,0.3,0.5,0.8,0,0.1,0.3,0.1,0.1,1.3,0,0,0
Lavoy Allen,allenla01,F,79,20.2,2.4,4.7,0.516,0,0,,0.516,0.6,0.9,0.63,2.1,3.3,5.4,1,0.3,0.5,0.9,1.9,5.4,0,0,0
Tony Allen,allento01,G,64,25.3,3.4,7.3,0.458,0.2,0.7,0.357,0.474,1.4,2.2,0.652,1.6,3,4.6,1.1,1.7,0.3,1.2,2.7,8.4,0,0,0
