Player,playerID,pos,GP,minutes,fgMade,fgAttempted,fgPct,threeMade,threeAttempted,threePct,efgPct,ftMade,ftAttempted,ftPct,oRebounds,dRebounds,rebounds,assists,steals,blocks,turnovers,PF,points,allNBA,MVP,DPY
Al-Farouq Aminu,aminual01,F,82,28.5,3.6,8.8,0.416,1.5,4.3,0.361,0.503,1.4,1.9,0.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2,0,0,0
Lou Amundson,amundlo01,F,29,7,0.7,1.8,0.358,0,0,,0.358,0.5,0.9,0.519,0.8,0.9,1.7,0.4,0.2,0.2,0.5,1.5,1.8,0,0,0
Chris Andersen,anderch01,C,27,14.9,1.4,2.7,0.528,0.1,0.5,0.286,0.556,0.9,1.3,0.694,1.3,2.3,3.6,0.4,0.6,0.5,0.3,1.1,3.9,0,0,0
Alan Anderson,anderal01,G,13,14.8,1.6,4.5,0.356,0.9,2.8,0.324,0.458,0.8,1.2,0.733,0.1,2,2.1,1.1,0.3,0.1,0.2,1.9,5,0,0,0
James Anderson,anderja01,G,51,14.1,1.3,3.5,0.376,0.5,1.7,0.267,0.441,0.4,0.6,0.759,0.3,1.4,1.7,0.8,0.4,0.3,0.8,1.1,3.5,0,0,0
Justin Anderson,anderju01,F,55,11.8,1.3,3.2,0.406,0.4,1.5,0.265,0.469,0.8,1,0.8,0.3,2.1,2.4,0.5,0.3,0.5,0.4,0.8,3.8,0,0,0
Kyle Anderson,anderky01,F,78,16,1.8,3.8,0.468,0.2,0.5,0.324,0.488,0.8,1.1,0.747,0.3,2.8,3.1,1.6,0.8,0.4,0.8,1.2,4.5,0,0,0
Ryan Anderson,anderry01,F,66,30.4,6,14.1,0.427,2,5.4,0.366,0.498,3,3.5,0.873,2,4,6,1.1,0.6,0.4,1.4,1.7,17,0,0,0
Giannis Antetokounmpo,antetgi01,G,80,35.3,6.4,12.7,0.506,0.4,1.4,0.257,0.52,3.7,5.1,0.724,1.4,6.2,7.7,4.3,1.2,1.4,2.6,3.2,16.9,0,0,0
Thanasis Antetokounmpo,antetth01,F,2,3,1.5,2,0.75,0,0.5,0,0.75,0,0,,0,0.5,0.5,0,0,0,0,1,3,0,0,0
Carmelo Anthony,anthoca01,F,72,35.1,7.9,18.2,0.434,1.5,4.3,0.339,0.474,4.6,5.6,0.829,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8,0,0,0
Joel Anthony,anthojo01,C,19,5.1,0.3,0.5,0.6,0,0,,0.6,0.3,0.4,0.75,0.4,0.7,1.1,0.1,0.1,0.6,0.1,0.8,0.9,0,0,0
Keith Appling,applike01,G,5,5.4,0.4,1.6,0.25,0,0.6,0,0.25,0.4,0.4,1,0,0.2,0.2,0.2,0.2,0,0.6,1,1.2,0,0,0
Trevor Ariza,arizatr01,F,81,35.3,4.4,10.6,0.416,2.3,6.2,0.371,0.523,1.6,2,0.783,0.8,3.7,4.5,2.3,2,0.3,1.4,2.2,12.7,0,0,0
Darrell Arthur,arthuda01,F,70,21.7,3.2,7,0.452,0.6,1.7,0.385,0.498,0.6,0.8,0.755,1.2,3,4.2,1.4,0.8,0.7,0.9,2.6,7.5,0,0,0
Omer Asik,asikom01,C,68,17.3,1.5,2.9,0.533,0,0,,0.533,0.9,1.6,0.545,1.8,4.3,6.1,0.4,0.3,0.3,0.9,1.8,4,0,0,0
D.J. Augustin,augusdj01,G,62,19,2.4,5.6,0.423,1.1,2.7,0.405,0.52,1.7,2.1,0.805,0.1,1.4,1.5,3.2,0.6,0.1,1.4,1.4,7.5,0,0,0
Jeff Ayres,pendeje02,C,17,6.3,0.7,1.4,0.522,0,0.1,0,0.522,0.4,0.4,1,0.2,1.1,1.3,0.3,0,0.2,0.4,1.1,1.8,0,0,0
Luke Babbitt,babbilu01,F,47,18,2.6,6.1,0.422,0.9,2.3,0.404,0.498,0.8,1.1,0.78,0.5,2.6,3.1,1.1,0.2,0.1,0.5,1.9,7,0,0,0
Cameron Bairstow,bairsca01,C,18,5.7,0.7,2.2,0.325,0.1,0.3,0.2,0.338,0.4,0.4,0.875,0.2,1.3,1.6,0.3,0.1,0.2,0.2,1.1,1.9,0,0,0
Leandro Barbosa,barbole01,G,68,15.9,2.5,5.4,0.462,0.6,1.6,0.355,0.515,0.8,0.9,0.839,0.4,1.3,1.7,1.2,0.6,0.1,0.8,1.6,6.4,0,0,0
J.J. Barea,bareajo01,G,74,22.5,4.3,9.6,0.446,1.4,3.5,0.385,0.516,1,1.3,0.771,0.4,1.7,2.1,4.1,0.4,0,1.5,1.5,10.9,0,0,0
Andrea Bargnani,bargnan01,C,46,13.8,2.8,6.1,0.455,0.1,0.3,0.188,0.461,1,1.2,0.825,0.6,1.5,2.1,0.4,0.1,0.2,0.6,1.3,6.6,0,0,0
Harrison Barnes,barneha02,F,66,30.9,4.5,9.6,0.466,1.2,3.2,0.383,0.531,1.5,2,0.761,1.2,3.8,4.9,1.8,0.6,0.2,0.9,2.1,11.7,0,0,0
Matt Barnes,barnema02,F,76,28.8,3.5,9.1,0.381,1.6,4.9,0.322,0.467,1.5,1.8,0.804,1.1,4.4,5.5,2.1,1,0.8,1.6,3.1,10,0,0,0
Will Barton,bartowi01,G,82,28.7,5.2,12,0.432,1.4,4,0.345,0.489,2.6,3.3,0.806,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,14.4,0,0,0
Brandon Bass,bassbr01,F,66,20.3,2.6,4.8,0.549,0,0,0,0.549,1.9,2.2,0.845,1.6,2.7,4.3,1.1,0.5,0.8,0.6,1.9,7.2,0,0,0
Nicolas Batum,batumni01,F,70,35,5.3,12.5,0.426,2,5.7,0.348,0.506,2.3,2.7,0.849,0.8,5.3,6.1,5.8,0.9,0.6,2.9,1.6,14.9,0,0,0
Jerryd Bayless,bayleje01,G,52,28.9,3.6,8.4,0.423,1.9,4.4,0.437,0.539,1.3,1.7,0.778,0.4,2.3,2.7,3.1,0.9,0.2,1.4,2.1,10.4,0,0,0
Aron Baynes,baynear01,C,81,15.2,2.4,4.7,0.505,0,0,0,0.505,1.6,2,0.764,1.7,3,4.7,0.6,0.3,0.6,0.8,1.9,6.3,0,0,0
Kent Bazemore,bazemke01,F,75,27.8,4.3,9.7,0.441,1.5,4.1,0.357,0.517,1.6,2,0.815,0.4,4.7,5.1,2.3,1.3,0.5,1.8,2.3,11.6,0,0,0
Bradley Beal,bealbr01,G,55,31.1,6.5,14.5,0.449,1.9,4.9,0.387,0.515,2.5,3.2,0.767,0.7,2.7,3.4,2.9,1,0.2,2,2.1,17.4,0,0,0
Michael Beasley,beaslmi01,F,20,18.2,5.4,10.3,0.522,0.2,0.5,0.333,0.529,1.9,2.5,0.776,1.5,3.5,4.9,0.8,0.6,0.5,1.2,2,12.8,0,0,0
Marco Belinelli,belinma01,G,68,24.6,3.6,9.3,0.386,1.3,4.4,0.306,0.457,1.7,2,0.833,0.1,1.6,1.7,1.9,0.5,0,1.2,1.3,10.2,0,0,0
Anthony Bennett,bennean01,F,19,4.4,0.4,1.4,0.296,0.2,0.7,0.214,0.352,0.5,0.5,0.9,0.3,0.9,1.2,0,0.3,0,0.2,0.4,1.5,0,0,0
Patrick Beverley,beverpa01,G,71,28.7,3.6,8.4,0.434,1.7,4.4,0.4,0.539,0.8,1.2,0.682,1,2.5,3.5,3.4,1.3,0.4,1.3,3.3,9.9,0,0,0
Bismack Biyombo,biyombi01,C,82,22,1.9,3.5,0.542,0,0,0,0.542,1.7,2.8,0.628,2.2,5.8,8,0.4,0.2,1.6,0.9,2.7,5.5,0,0,0
Nemanja Bjelica,bjeline01,F,60,17.9,1.8,3.9,0.468,0.8,2.1,0.384,0.57,0.7,0.9,0.727,0.8,2.7,3.5,1.4,0.4,0.4,0.8,2.6,5.1,0,0,0
Tarik Black,blackta01,C,39,12.7,1.5,2.7,0.548,0,0,,0.548,0.5,1.2,0.422,1.1,2.9,4,0.4,0.4,0.5,0.6,2,3.4,0,0,0
DeJuan Blair,blairde01,C,29,7.5,1,2.3,0.412,0,0,0,0.412,0.2,0.4,0.385,0.7,1.3,2,0.4,0.3,0.1,0.5,1.8,2.1,0,0,0
Steve Blake,blakest01,G,58,17,1.6,4.1,0.388,0.9,2.6,0.344,0.496,0.3,0.3,0.8,0.2,1.4,1.5,3.4,0.4,0.1,1.4,1.2,4.4,0,0,0
Eric Bledsoe,bledser01,G,31,34.2,7.2,15.9,0.453,1.5,4.2,0.372,0.502,4.5,5.5,0.802,0.6,3.5,4,6.1,2,0.6,3.5,2.4,20.4,0,0,0
Bojan Bogdanovic,bogdabo02,F,79,26.8,4.1,9.5,0.433,1.6,4.3,0.382,0.519,1.4,1.7,0.833,0.5,2.8,3.2,1.3,0.4,0.1,1.5,1.5,11.2,0,0,0
Andrew Bogut,bogutan01,C,70,20.7,2.5,4,0.627,0,0,1,0.629,0.3,0.7,0.48,1.7,5.3,7,2.3,0.5,1.6,1.2,3.2,5.4,0,0,0
Matt Bonner,bonnema01,C,30,6.9,1,1.9,0.509,0.5,1.1,0.441,0.64,0.1,0.1,0.75,0.1,0.8,0.9,0.3,0.2,0,0.1,0.5,2.5,0,0,0
Devin Booker,bookede01,G,76,27.7,4.8,11.4,0.423,1.3,3.8,0.343,0.48,2.8,3.4,0.84,0.4,2.1,2.5,2.6,0.6,0.3,2.1,3,13.8,0,0,0
Trevor Booker,booketr01,F,79,20.7,2.4,4.9,0.49,0.2,0.5,0.293,0.505,0.9,1.3,0.67,2.1,3.6,5.7,1.1,0.7,0.5,1,2.1,5.9,0,0,0
Chris Bosh,boshch01,F,53,33.5,6.8,14.5,0.467,1.5,4.2,0.365,0.52,4,5.1,0.795,0.9,6.5,7.4,2.4,0.7,0.6,1.5,1.9,19.1,0,0,0
Avery Bradley,bradlav01,G,76,33.4,6,13.4,0.447,1.9,5.4,0.361,0.52,1.3,1.6,0.78,0.6,2.3,2.9,2.1,1.5,0.3,1.4,2.2,15.2,0,0,0
Elton Brand,brandel01,C,17,13.2,1.8,4.2,0.431,0,0.1,0,0.431,0.5,0.5,0.889,0.5,3.2,3.7,1.1,0.5,0.5,0.6,1.9,4.1,0,0,0
Corey Brewer,breweco01,F,82,20.4,2.6,6.7,0.384,0.7,2.7,0.272,0.439,1.3,1.7,0.75,0.5,1.9,2.4,1.3,1,0.2,1,2,7.2,0,0,0
Aaron Brooks,brookaa01,G,69,16.1,2.7,6.8,0.401,1,2.7,0.357,0.471,0.7,0.9,0.766,0.3,1.2,1.5,2.6,0.4,0.1,1.2,1.9,7.1,0,0,0
Anthony Brown,brownan02,F,29,20.7,1.3,4.3,0.31,0.7,2.4,0.286,0.389,0.6,0.7,0.85,0.3,2.1,2.4,0.7,0.5,0.2,0.5,1.2,4,0,0,0
Lorenzo Brown,brownlo01,G,8,7.6,1,3.1,0.32,0.1,1,0.125,0.34,0.4,0.5,0.75,0,0.9,0.9,1.4,0.4,0.1,1.1,0.5,2.5,0,0,0
Markel Brown,brownma02,G,62,15.8,2,5.2,0.394,0.6,2,0.314,0.453,1.1,1.5,0.755,0.4,1.6,2,1.5,0.6,0.2,0.9,1.5,5.9,0,0,0
Kobe Bryant,bryanko01,F,66,28.2,6,16.9,0.358,2,7.1,0.285,0.417,3.5,4.3,0.826,0.6,3.1,3.7,2.8,0.9,0.2,2,1.7,17.6,0,0,0
Chase Budinger,budinch01,F,66,14.1,1.6,3.6,0.435,0.4,1.3,0.279,0.485,0.6,0.8,0.696,0.7,1.6,2.3,1,0.5,0.2,0.7,0.9,4.1,0,0,0
Reggie Bullock,bullore01,F,37,11.6,1.2,2.6,0.439,0.6,1.4,0.415,0.551,0.4,0.4,0.933,0.4,1.5,1.8,0.7,0.3,0.1,0.2,0.8,3.3,0,0,0
Trey Burke,burketr01,G,64,21.3,4.1,9.9,0.413,1.4,4,0.344,0.483,1,1.3,0.817,0.3,1.5,1.8,2.3,0.5,0.1,1.3,1.3,10.6,0,0,0
Alec Burks,burksal01,G,31,25.7,4.4,10.8,0.41,1,2.5,0.405,0.458,3.4,4.5,0.752,0.5,3,3.5,2,0.6,0.1,1.6,2.3,13.3,0,0,0
Caron Butler,butleca01,F,17,10.4,1.5,3.5,0.424,0.2,1.1,0.167,0.449,0.6,0.7,0.833,0.3,1,1.3,0.6,0.5,0.1,0.2,1.1,3.7,0,0,0
Jimmy Butler,butleji01,G,67,36.9,7,15.4,0.454,1,3.1,0.312,0.485,5.9,7.1,0.832,1.2,4.2,5.3,4.8,1.6,0.6,2,1.9,20.9,0,0,0
Rasual Butler,butlera01,F,46,9.4,1.1,2.3,0.471,0.3,1.1,0.306,0.543,0.2,0.3,0.688,0.1,1.2,1.2,0.5,0.3,0.5,0.2,0.2,2.7,0,0,0
Bruno Caboclo,cabocbr01,F,6,7.2,0.2,2,0.083,0.2,1.2,0.143,0.125,0,0,,0.2,0.2,0.3,0.2,0.3,0.2,0.7,0.3,0.5,0,0,0
Jose Calderon,caldejo01,G,72,28.1,2.9,6.3,0.459,1.2,2.8,0.414,0.552,0.6,0.7,0.875,0.3,2.9,3.2,4.1,0.9,0.1,1.2,1.9,7.6,0,0,0
Kentavious Caldwell-Pope,caldwke01,G,76,36.7,5.3,12.6,0.42,1.5,4.9,0.309,0.479,2.4,3,0.811,0.9,2.8,3.7,1.8,1.4,0.2,1.4,2.2,14.5,0,0,0
Isaiah Canaan,canaais01,G,77,25.5,3.4,9.4,0.36,2.3,6.3,0.363,0.482,1.9,2.3,0.833,0.3,2,2.3,1.8,0.7,0.2,1.2,1.7,11,0,0,0
Clint Capela,capelca01,C,77,19.1,3,5.2,0.582,0,0,0,0.582,1,2.7,0.379,2.5,3.9,6.4,0.6,0.8,1.2,0.8,2.5,7,0,0,0
DeMarre Carroll,carrode01,F,26,30.2,4,10.4,0.389,1.8,4.5,0.39,0.474,1.2,1.9,0.6,1.2,3.5,4.7,1,1.7,0.2,1.1,2.4,11,0,0,0
Vince Carter,cartevi01,G,60,16.8,2.2,5.7,0.388,1,2.8,0.349,0.474,1.2,1.4,0.833,0.5,1.9,2.4,0.9,0.6,0.3,0.6,1.7,6.6,0,0,0
Michael Carter-Williams,cartemi01,G,54,30.5,4.6,10.3,0.452,0.3,1,0.273,0.466,2,3,0.654,0.9,4.2,5.1,5.2,1.5,0.8,2.8,3,11.5,0,0,0
Omri Casspi,casspom01,F,69,27.2,4.3,9,0.481,1.6,4,0.409,0.571,1.5,2.3,0.648,0.8,5.1,5.9,1.4,0.8,0.2,1.4,2.2,11.8,0,0,0
Willie Cauley-Stein,caulewi01,C,66,21.4,2.9,5.1,0.563,0,0,0,0.563,1.2,1.9,0.648,2,3.3,5.3,0.6,0.7,1,0.7,2.2,7,0,0,0
Mario Chalmers,chalmma01,G,61,22.5,3,7.3,0.41,0.8,2.4,0.309,0.462,3.6,4.3,0.832,0.4,2.2,2.6,3.8,1.4,0.2,1.8,3,10.3,0,0,0
Tyson Chandler,chandty01,C,66,24.5,2.8,4.8,0.583,0,0,0,0.583,1.6,2.6,0.62,2.7,6.1,8.7,1,0.5,0.7,1.4,2.2,7.2,0,0,0
Rakeem Christmas,chrisra01,F,1,6,2,2,1,0,0,,1,0,0,,1,0,1,0,0,0,0,1,4,0,0,0
Ian Clark,clarkia01,G,66,8.8,1.3,3.1,0.441,0.5,1.3,0.357,0.515,0.4,0.5,0.824,0.2,0.8,1,1,0.3,0.2,0.7,0.9,3.6,0,0,0
Coty Clarke,clarkco01,F,3,2,0.7,1.3,0.5,0.7,0.7,1,0.75,0,0,,0,0.3,0.3,0,0,0,0.3,0,2,0,0,0
Jordan Clarkson,clarkjo01,G,79,32.3,6,13.9,0.433,1.4,4.1,0.347,0.483,2.1,2.6,0.804,1.2,2.8,4,2.4,1.1,0.1,1.7,2.1,15.5,0,0,0
Norris Cole,coleno01,G,45,26.6,4.4,10.8,0.405,0.7,2.3,0.324,0.439,1.2,1.4,0.8,0.2,3.1,3.4,3.7,0.8,0.1,1.7,2.3,10.6,0,0,0
Darren Collison,collida01,G,74,30,5.1,10.5,0.486,1.2,2.9,0.401,0.542,2.6,3.1,0.858,0.4,1.9,2.3,4.3,1,0.1,1.8,1.9,14,0,0,0
Nick Collison,collini01,F,59,11.8,0.8,1.8,0.459,0,0,0,0.459,0.4,0.6,0.697,1.2,1.7,2.9,0.9,0.3,0.3,0.8,1.8,2.1,0,0,0
Mike Conley,conlemi01,G,56,31.4,5.3,12.4,0.422,1.4,3.8,0.363,0.478,3.4,4.1,0.834,0.5,2.5,2.9,6.1,1.2,0.3,1.5,1.8,15.3,0,0,0
Pat Connaughton,connapa01,G,34,4.2,0.4,1.4,0.265,0.1,0.6,0.238,0.316,0.1,0.1,1,0.3,0.6,0.9,0.3,0.1,0,0.3,0.2,1.1,0,0,0
Chris Copeland,copelch01,F,24,6.5,0.7,2.1,0.333,0.4,1.5,0.278,0.431,0.3,0.3,0.857,0,0.4,0.4,0.5,0.1,0,0.3,0.7,2.1,0,0,0
Bryce Cotton,cottobr01,G,8,4.9,0.5,1.3,0.4,0,0.4,0,0.4,0,0,,0,0,0,0.4,0.4,0,0.6,0.3,1,0,0,0
DeMarcus Cousins,couside01,C,65,34.6,9.2,20.5,0.451,1.1,3.2,0.333,0.477,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9,1,0,0
Robert Covington,covinro01,F,67,28.4,4.1,10.6,0.385,2.5,7.2,0.353,0.504,2.1,2.6,0.791,1,5.3,6.3,1.4,1.6,0.6,2.1,3.5,12.8,0,0,0
Allen Crabbe,crabbal01,G,81,26,3.8,8.4,0.459,1.4,3.5,0.393,0.541,1.2,1.4,0.867,0.3,2.3,2.7,1.2,0.8,0.2,0.8,2.4,10.3,0,0,0
Jamal Crawford,crawfja01,G,79,26.9,4.8,11.9,0.404,1.5,4.4,0.34,0.466,3.1,3.4,0.904,0.3,1.6,1.8,2.3,0.7,0.2,1.4,1.5,14.2,0,0,0
Jae Crowder,crowdja01,F,73,31.6,4.9,11.1,0.443,1.7,5,0.336,0.518,2.7,3.3,0.82,1,4.2,5.1,1.8,1.7,0.5,1.1,2.7,14.2,0,0,0
Dante Cunningham,cunnida01,F,80,24.6,2.3,5.2,0.451,0.7,2.2,0.316,0.518,0.7,1,0.695,0.7,2.2,3,1,0.5,0.4,0.5,2.2,6.1,0,0,0
Jared Cunningham,cunnija01,G,44,9.3,0.8,2.4,0.343,0.3,0.9,0.308,0.4,0.8,1.3,0.655,0.1,0.8,0.9,0.5,0.3,0,0.5,0.9,2.7,0,0,0
Seth Curry,curryse01,G,44,15.7,2.3,5.1,0.455,1.1,2.5,0.45,0.567,1,1.2,0.833,0.2,1.2,1.4,1.5,0.5,0.1,0.8,0.9,6.8,0,0,0
Stephen Curry,curryst01,G,79,34.2,10.2,20.2,0.504,5.1,11.2,0.454,0.63,4.6,5.1,0.908,0.9,4.6,5.4,6.7,2.1,0.2,3.3,2,30.1,1,1,0
Troy Daniels,danietr01,G,43,11.1,2.1,4.3,0.476,1.4,2.8,0.484,0.634,0.1,0.2,0.556,0.2,1.2,1.3,0.5,0.3,0.1,0.6,0.9,5.6,0,0,0
Anthony Davis,davisan02,C,61,35.5,9.2,18.6,0.493,0.6,1.8,0.324,0.508,5.3,7,0.758,2.1,8.1,10.3,1.9,1.3,2,2,2.4,24.3,0,0,0
Ed Davis,davised01,F,81,20.8,2.5,4.2,0.611,0,0,,0.611,1.4,2.5,0.559,2.8,4.6,7.4,1.1,0.7,0.9,0.8,2.5,6.5,0,0,0
Branden Dawson,dawsobr01,F,6,4.8,0.3,0.8,0.4,0,0,,0.4,0.2,0.2,1,0.3,0.3,0.7,0,0,0.2,0,0.3,0.8,0,0,0
Dewayne Dedmon,dedmode01,C,58,12.2,1.7,3.1,0.559,0,0,,0.559,1,1.3,0.75,1.2,2.8,3.9,0.2,0.4,0.8,0.6,1.9,4.4,0,0,0
Bryce Dejean-Jones,dejeabr01,G,14,19.9,2,4.9,0.406,0.9,2.3,0.375,0.493,0.8,1.5,0.524,0.6,2.9,3.4,1.1,0.7,0.1,0.8,1.2,5.6,0,0,0
Sam Dekker,dekkesa01,F,3,2,0,0,,0,0,,,0,0,,0,0.3,0.3,0,0.3,0,0,0,0,0,0,0
Matthew Dellavedova,dellama01,G,76,24.6,2.7,6.7,0.405,1.3,3.1,0.41,0.501,0.8,0.9,0.864,0.4,1.7,2.1,4.4,0.6,0.1,1.5,2.3,7.5,0,0,0
Luol Deng,denglu01,F,74,32.4,4.6,10.1,0.455,1.2,3.5,0.344,0.514,2,2.6,0.755,1.5,4.5,6,1.9,1,0.4,1.1,1.6,12.3,0,0,0
DeMar DeRozan,derozde01,G,78,35.9,7.9,17.7,0.446,0.6,1.8,0.338,0.463,7.1,8.4,0.85,0.8,3.7,4.5,4,1,0.3,2.2,2.1,23.5,0,0,0
Boris Diaw,diawbo01,F,76,18.2,2.7,5,0.527,0.3,0.9,0.362,0.56,0.7,1,0.737,0.8,2.3,3.1,2.3,0.3,0.3,1.3,1.3,6.4,0,0,0
Gorgui Dieng,dienggo01,C,82,27.1,3.8,7.1,0.532,0.1,0.2,0.3,0.537,2.5,3,0.827,1.9,5.2,7.1,1.7,1.1,1.2,1.7,2.7,10.1,0,0,0
Spencer Dinwiddie,dinwisp01,G,12,13.3,1.6,4.5,0.352,0.1,0.8,0.1,0.361,1.6,2.8,0.576,0.3,1.1,1.4,1.8,0.3,0,0.6,1.7,4.8,0,0,0
Toney Douglas,douglto01,G,61,20.7,3,7.3,0.411,1.3,3.3,0.399,0.502,1.4,1.6,0.848,0.4,1.9,2.3,2.6,1.1,0.1,1,2.1,8.7,0,0,0
Goran Dragic,dragigo01,G,72,32.8,5.8,12.2,0.477,0.9,2.8,0.312,0.513,1.7,2.3,0.727,0.8,3.1,3.8,5.8,1,0.2,2.6,2.6,14.1,0,0,0
Andre Drummond,drumman01,C,81,32.9,6.8,13.1,0.521,0,0.1,0.333,0.522,2.6,7.2,0.355,4.9,9.9,14.8,0.8,1.5,1.4,1.9,3,16.2,1,0,0
Jared Dudley,dudleja01,F,81,25.9,2.9,6,0.478,1.2,2.9,0.42,0.581,0.9,1.2,0.735,0.7,2.9,3.5,2.1,0.9,0.2,1,2.3,7.9,0,0,0
Duje Dukan,dukandu01,F,1,24,2,10,0.2,2,5,0.4,0.3,0,0,,2,2,4,1,1,0,0,2,6,0,0,0
Tim Duncan,duncati01,C,61,25.2,3.5,7.2,0.488,0,0,0,0.488,1.5,2.1,0.702,1.9,5.4,7.3,2.7,0.8,1.3,1.5,2,8.6,0,0,0
Mike Dunleavy,dunlemi02,F,31,22.7,2.5,6.1,0.41,1.3,3.2,0.394,0.513,0.9,1.2,0.784,0.3,2.4,2.7,1.3,0.5,0.3,0.8,2.1,7.2,0,0,0
Kevin Durant,duranke01,F,72,35.8,9.7,19.2,0.505,2.6,6.7,0.387,0.573,6.2,6.9,0.898,0.6,7.6,8.2,5,1,1.2,3.5,1.9,28.2,1,0,0
Cleanthony Early,earlycl01,F,17,9.1,0.7,2.4,0.3,0.2,0.9,0.267,0.35,0.2,0.2,0.75,0.2,1.3,1.5,0.4,0.1,0.2,0.5,0.9,1.8,0,0,0
Jarell Eddie,eddieja01,F,26,5.7,0.8,2.5,0.308,0.6,1.8,0.319,0.423,0.3,0.3,1,0.1,0.8,0.9,0.2,0.2,0,0,0.2,2.4,0,0,0
Wayne Ellington,ellinwa01,G,76,21.3,2.9,7.4,0.389,1.3,3.5,0.358,0.474,0.7,0.8,0.857,0.3,2,2.3,1.1,0.6,0.1,0.6,1.1,7.7,0,0,0
Monta Ellis,ellismo01,G,81,33.8,5.4,12.6,0.427,1.1,3.5,0.309,0.47,2,2.5,0.786,0.5,2.8,3.3,4.7,1.9,0.5,2.5,2.1,13.8,0,0,0
James Ennis,ennisja01,F,22,15,2.5,5.1,0.478,1.2,2.6,0.448,0.593,1.1,1.5,0.735,1,1,1.9,1,0.7,0.2,0.9,1.3,7.2,0,0,0
Tyler Ennis,ennisty01,G,46,14.2,1.8,4.1,0.449,0.3,0.8,0.333,0.484,0.5,0.7,0.735,0.3,1.3,1.6,2.1,0.5,0,1,1.4,4.5,0,0,0
Jeremy Evans,evansje01,F,30,8.4,0.9,1.6,0.542,0.1,0.5,0.25,0.583,0.5,0.7,0.714,0.4,1.4,1.8,0.1,0.2,0.3,0.2,0.6,2.4,0,0,0
Tyreke Evans,evansty01,G,25,30.6,5.4,12.6,0.433,1.3,3.4,0.388,0.486,3,3.7,0.796,0.8,4.4,5.2,6.6,1.3,0.3,2.9,2.6,15.2,0,0,0
Festus Ezeli,ezelife01,C,46,16.7,2.7,5,0.548,0,0,,0.548,1.5,2.9,0.53,2,3.6,5.6,0.7,0.4,1.1,0.8,2,7,0,0,0
Kenneth Faried,farieke01,F,67,25.3,5.2,9.3,0.558,0,0,0.5,0.558,2,3.3,0.613,3.5,5.2,8.7,1.2,0.5,0.9,1.4,2.5,12.5,0,0,0
Jordan Farmar,farmajo01,G,12,24.3,3.5,8.3,0.42,1.3,3.8,0.356,0.5,0.8,0.8,1,0.3,1.8,2.1,3.1,1.3,0.2,1.5,1.8,9.2,0,0,0
Derrick Favors,favorde01,F,62,32,6.7,13.1,0.515,0,0.1,0,0.515,2.9,4.1,0.709,2.7,5.4,8.1,1.5,1.2,1.5,1.7,2.4,16.4,0,0,0
Cristiano Felicio,feliccr01,C,31,10.4,1.3,2.3,0.556,0,0.1,0,0.556,0.8,1.1,0.714,1,2.3,3.3,0.8,0.2,0.4,0.4,1,3.4,0,0,0
